,label,Time,cleaned,Text
0,1,18/6/21,"['food', 'also', 'feeding', 'healthy', 'digestion', 'puppy', 'good', 'small', 'every', 'dog', 'eats', 'require', 'amount']",this is a very healthy dog food. good for their digestion. also good for small puppies. my dog eats her required amount at every feeding.
1,1,7/7/21,"['allergic', 'past', 'also', 'pleased', 'size', 'possible', 'large', 'natural', 'grain', 'sized', 'food', 'small', 'free', 'kibble', 'issue', 'someone', 'recommend', 'dog', 'different', 'switch', 'helpful', 'balance', 'since']",i've been very pleased with the natural balance dog food. our dogs have had issues with other dog foods in the past and i had someone recommend natural balance grain free since it is possible they were allergic to grains. since switching i haven't had any issues. it is also helpful that have have different kibble size for larger/smaller sized dogs.
2,1,18/6/21,"['educate', 'gamble', 'dry', 'offer', 'procter', 'cat', 'limited', 'two', 'food', 'become', 'recently', 'one', 'eat', 'year', 'try', 'sample', 'can', 'feline', 'manufacturer', 'holistic', 'usual', 'palatable', 'feed', 'finicky', 'eater', 'several', 'addicted', 'pet', 'allow', 'premium', 'nutrition', 'old', 'good', 'store', 'recommend', 'replacement', 'canned', 'always', 'innova', 'begin', 'look', 'purchase', 'quality', 'select', 'wellness', 'wish', 'would', 'local']","before i was educated about feline nutrition, i allowed my cats to become addicted to dry cat food. i always offered both canned and dry, but wish i would have fed them premium quality canned food and limited dry food. i have two 15 year old cats and two 5 year old cats. the only good quality dry foods they will eat are wellness and innova. innova's manufacturer was recently purchased by procter&gamble. i began looking for a replacement. after once again offering several samples (from my local holistic pet store) holistic select was the only one (other than the usual wellness and innova) they would eat. for finicky cats, i recommend trying holistic select. it is a good quality food that is very palatable for finicky eaters."
3,1,7/7/21,"['brand', 'find', 'cat', 'sardine', 'health', 'delicately', 'odorous', 'mcdonalds', 'soft', 'say', 'part', 'best', 'want', 'definite', 'try', 'eat', 'highly', 'holistic', 'benefit', 'obvious', 'junk', 'prefer', 'clear', 'far', 'especially', 'less', 'store', 'recommend', 'waste', 'along', 'coat', 'clean', 'version', 'plus', 'rude', 'eye', 'select', 'vet']","my holistic vet recommended this, along with a few other brands. we tried them all, but my cats prefer this (especially the sardine version). the best part is their coats are so soft and clean and their eyes are so clear. and (and i don't want to be rude, so i'll say this as delicately as i can) their waste is far less odorous than cats who eat the mcdonalds junk found in most stores, which is a definite plus for me! the health benefits are so obvious - i highly recommend holistic select!"
4,1,1/7/21,"['week', 'totally', 'well', 'organic', 'day', 'similar', 'antioxidant', 'cheap', 'buy', 'much', 'healthy', 'ganocafe', 'good', 'less', 'reishi', 'introducing', 'mushroom', 'actually', 'expensive', 'follow', 'product', 'taste', 'worth', 'expect', 'take', 'sister', 'coffee']","i bought this coffee because its much cheaper than the ganocafe and has the organic reishi mushroom as well as other healthy antioxidants.  i didn't expect it to taste good, but it actually does!  i've only had it for a few days and for $5 its totally worth it.  my sisters all take ganocafe but now i'm introducing them to this less expensive similar coffee.  i will follow up on this product in a few weeks.  :)"
5,1,7/7/21,"['like', 'another', 'africafe', 'great', 'instant', 'one', 'want', 'organic', 'taste', 'good', 'pure', 'try', 'though', 'mention', 'different', 'favorites', 'people', 'coffee']","like the other people mentioned, this coffee has a great taste. i've tried different instant coffees before, but this one is one of the better ones. another one of my favorites, if you want to try it out (though not organic), is 'africafe pure instant coffee'"
6,1,23/7/21,"['chip', 'light', 'munchies', 'value', 'potato', 'alternative', 'tasting', 'nutrition', 'good', 'eat', 'everyone', 'get']",a good tasting light chip that has some value in nutrition.  everyone get the munchies....is this is a good alternative to eating potato chips!
7,1,20/7/21,"['entree', 'sent', 'item', 'ever', 'flavor', 'patty', 'fish', 'recently', 'best', 'delicious', 'diabetes', 'grande', 'love', 'ultimate', 'mother', 'cooking', 'purpose', 'case', 'main', 'diagnose']","a grande item !  delicious fish with the ultimate flavor, best  ever in a can for all purposes !  i sent a case to my mother recently diagnosed with diabetes, and she loves it as a main entree for cooking patties !"
8,1,19/7/21,"['happy', 'time', 'bake', 'order', 'great', 'cook', 'product', 'latte', 'substitute', 'sugar', 'delivery', 'chai', 'two', 'work']","i ordered this product two times now and have been very happy with both the delivery and the product.  it works great for cooking, baking and as a substitute sugar in my chai lattes."
9,1,18/6/21,"['low', 'mine', 'body', 'stuff', 'great', 'size', 'substitute', 'sugar', 'economical', 'shipping', 'glycemic', 'soon', 'favor', 'fast', 'get']","this stuff is great because it's low glycemic. substitute this to sugar and you'll be doing your body a great favor.  this size is economical and shipping is fast, too.  i got mine very soon."
